casenum,order,agent,action,permissibility
943,111,2,human,random action,0
944,112,2,computer,random action,40
945,113,3,human,random action,20
946,114,3,computer,random action,70
947,115,4,human,random action,10
948,116,4,computer,random action,10
949,117,5,human,random action,30
950,118,5,computer,random action,10
951,119,6,human,random action,0
952,120,6,computer,random action,30
953,121,1,human,random action,10
954,122,1,computer,random action,70
955,123,2,human,random action,20
956,124,2,computer,random action,40
957,125,3,human,random action,0
958,126,3,computer,random action,60
959,127,4,human,random action,0
960,128,4,computer,random action,90
961,129,5,human,random action,10
962,130,5,computer,random action,20
963,131,6,human,random action,50
964,132,6,computer,random action,60
965,133,1,human,random action,10
966,134,1,computer,random action,100
967,135,2,human,random action,30
968,136,2,computer,random action,10
969,137,3,human,random action,10
970,138,3,computer,random action,20
971,139,4,human,random action,0
972,140,4,computer,random action,20
973,141,5,human,random action,0
974,142,5,computer,random action,10
975,143,6,human,random action,20
976,144,6,computer,random action,50
977,145,1,human,random action,0
978,146,1,computer,random action,50
979,147,2,human,random action,70
980,148,2,computer,random action,20
981,149,3,human,random action,0
982,150,3,computer,random action,0
983,151,4,human,random action,0
984,152,4,computer,random action,30
985,153,5,human,random action,20
986,154,5,computer,random action,0
987,155,6,human,random action,60
988,156,6,computer,random action,20
989,157,1,human,random action,50
990,158,1,computer,random action,40
991,159,2,human,random action,90
992,160,2,computer,random action,50
993,161,3,human,random action,50
994,162,3,computer,random action,100
995,163,4,human,random action,0
996,164,4,computer,random action,10
997,165,5,human,random action,0
998,166,5,computer,random action,50
999,167,6,human,random action,20
1000,168,6,computer,random action,30
1001,169,1,human,random action,0
1002,170,1,computer,random action,0
1003,171,2,human,random action,50
1004,172,2,computer,random action,80
1005,173,3,human,random action,0
1006,174,3,computer,random action,60
1007,175,4,human,random action,0
1008,176,4,computer,random action,70
1009,177,5,human,random action,20
1010,178,5,computer,random action,40
1011,179,6,human,random action,50
1012,180,6,computer,random action,20
1013,181,1,human,random action,0
1014,182,1,computer,random action,0
1015,183,2,human,random action,60
1016,184,2,computer,random action,50
1017,185,3,human,random action,30
1018,186,3,computer,random action,90
1019,187,4,human,random action,40
1020,188,4,computer,random action,0
1021,189,5,human,random action,30
1022,190,5,computer,random action,40
1023,191,6,human,random action,20
1024,192,6,computer,random action,0
1025,193,1,human,random action,50
1026,194,1,computer,random action,30
1027,195,2,human,random action,0
1028,196,2,computer,random action,30
1029,197,3,human,random action,0
1030,198,3,computer,random action,30
1031,199,4,human,random action,40
1032,200,4,computer,random action,70
1033,201,5,human,random action,0
1034,202,5,computer,random action,20
1035,203,6,human,random action,0
1036,204,6,computer,random action,100
1037,205,1,human,random action,100
1038,206,1,computer,random action,0
1039,207,2,human,random action,0
1040,208,2,computer,random action,20
1041,209,3,human,random action,50
1042,210,3,computer,random action,60
1043,211,4,human,random action,80
1044,212,4,computer,random action,40
1045,213,5,human,random action,30
1046,214,5,computer,random action,60
1047,215,6,human,random action,20
1048,216,6,computer,random action,10
1049,217,1,human,random action,10
1050,218,1,computer,random action,0
1051,219,2,human,random action,30
1052,220,2,computer,random action,80
1053,221,3,human,random action,100
1054,222,3,computer,random action,0
1055,223,4,human,random action,10
1056,224,4,computer,random action,70
1057,225,5,human,random action,0
1058,226,5,computer,random action,0
1059,227,6,human,random action,0
1060,228,6,computer,random action,60
1061,229,1,human,random action,0
1062,230,1,computer,random action,50
1063,231,2,human,random action,50
1064,232,2,computer,random action,50
1065,233,3,human,random action,10
1066,234,3,computer,random action,20
1067,235,4,human,random action,30
1068,236,4,computer,random action,60
1069,237,5,human,random action,0
1070,238,5,computer,random action,60
1071,239,6,human,random action,30
1072,240,6,computer,random action,30
1073,241,1,human,random action,0
1074,242,1,computer,random action,80
1075,243,2,human,random action,30
1076,244,2,computer,random action,50
1077,245,3,human,random action,90
1078,246,3,computer,random action,100
1079,247,4,human,random action,80
1080,248,4,computer,random action,80
1081,249,5,human,random action,20
1082,250,5,computer,random action,50
1083,251,6,human,random action,10
1084,252,6,computer,random action,10
1085,253,1,human,random action,10
1086,254,1,computer,random action,0
1087,255,2,human,random action,10
1088,256,2,computer,random action,20
1089,257,3,human,random action,0
1090,258,3,computer,random action,90
1091,259,4,human,random action,30
1092,260,4,computer,random action,0
1093,261,5,human,random action,70
1094,262,5,computer,random action,50
1095,263,6,human,random action,60
1096,264,6,computer,random action,10
1097,265,1,human,random action,100
1098,266,1,computer,random action,40
1099,267,2,human,random action,0
1100,268,2,computer,random action,0
1101,269,3,human,random action,80
1102,270,3,computer,random action,30
1103,271,4,human,random action,50
1104,272,4,computer,random action,80
1105,273,5,human,random action,20
1106,274,5,computer,random action,30
1107,275,6,human,random action,20
1108,276,6,computer,random action,10
1109,277,1,human,random action,20
1110,278,1,computer,random action,0
1111,279,2,human,random action,0
1112,280,2,computer,random action,70
1113,281,3,human,random action,0
1114,282,3,computer,random action,100
1115,283,4,human,random action,0
1116,284,4,computer,random action,0
1117,285,5,human,random action,80
1118,286,5,computer,random action,20
1119,287,6,human,random action,30
1120,288,6,computer,random action,10
1121,289,1,human,random action,90
1122,290,1,computer,random action,100
1123,291,2,human,random action,0
1124,292,2,computer,random action,10
1125,293,3,human,random action,20
1126,294,3,computer,random action,50
1127,295,4,human,random action,80
1128,296,4,computer,random action,0
1129,297,5,human,random action,20
1130,298,5,computer,random action,70
1131,299,6,human,random action,40
1132,300,6,computer,random action,30
1133,301,1,human,random action,0
1134,302,1,computer,random action,70
1135,303,2,human,random action,0
1136,304,2,computer,random action,0
1137,305,3,human,random action,0
1138,306,3,computer,random action,90
1139,307,4,human,random action,0
1140,308,4,computer,random action,70
1141,309,5,human,random action,20
1142,310,5,computer,random action,30
1143,311,6,human,random action,60
1144,312,6,computer,random action,60
1145,313,1,human,random action,0
1146,314,1,computer,random action,40
1147,315,2,human,random action,0
1148,316,2,computer,random action,80
1149,317,3,human,random action,0
1150,318,3,computer,random action,10
1151,319,4,human,random action,20
1152,320,4,computer,random action,0
1153,321,5,human,random action,70
1154,322,5,computer,random action,50
1155,323,6,human,random action,90
1156,324,6,computer,random action,10
1157,325,1,human,random action,0
1158,326,1,computer,random action,50
1159,327,2,human,random action,50
1160,328,2,computer,random action,100
1161,329,3,human,random action,20
1162,330,3,computer,random action,80
1163,331,4,human,random action,20
1164,332,4,computer,random action,70
1165,333,5,human,random action,0
1166,334,5,computer,random action,50
1167,335,6,human,random action,0
1168,336,6,computer,random action,50
1169,337,1,human,random action,0
1170,338,1,computer,random action,0
1171,339,2,human,random action,10
1172,340,2,computer,random action,0
1173,341,3,human,random action,0
1174,342,3,computer,random action,0
1175,343,4,human,random action,0
1176,344,4,computer,random action,0
1177,345,5,human,random action,20
1178,346,5,computer,random action,0
1179,347,6,human,random action,50
1180,348,6,computer,random action,20
1181,349,1,human,random action,60
1182,350,1,computer,random action,0
1183,351,2,human,random action,0
1184,352,2,computer,random action,80
1185,353,3,human,random action,10
1186,354,3,computer,random action,20
1187,355,4,human,random action,0
1188,356,4,computer,random action,50
1189,357,5,human,random action,20
1190,358,5,computer,random action,0
1191,359,6,human,random action,0
1192,360,6,computer,random action,0
1193,361,1,human,random action,20
1194,362,1,computer,random action,0
1195,363,2,human,random action,0
1196,364,2,computer,random action,80
1197,365,3,human,random action,0
1198,366,3,computer,random action,40
1199,367,4,human,random action,40
1200,368,4,computer,random action,90
1201,369,5,human,random action,0
1202,370,5,computer,random action,0
1203,371,6,human,random action,70
1204,372,6,computer,random action,10
1205,373,1,human,random action,10
1206,374,1,computer,random action,0
1207,375,2,human,random action,0
1208,376,2,computer,random action,50
1209,377,3,human,random action,0
1210,378,3,computer,random action,0
1211,379,4,human,random action,50
1212,380,4,computer,random action,20
1213,381,5,human,random action,20
1214,382,5,computer,random action,20
1215,383,6,human,random action,30
1216,384,6,computer,random action,10
1217,385,1,human,random action,0
1218,386,1,computer,random action,0
1219,387,2,human,random action,0
1220,388,2,computer,random action,30
1221,389,3,human,random action,0
1222,390,3,computer,random action,60
1223,391,4,human,random action,0
1224,392,4,computer,random action,50
1225,393,5,human,random action,0
1226,394,5,computer,random action,10
1227,395,6,human,random action,20
1228,396,6,computer,random action,50
1229,397,1,human,random action,0
1230,398,1,computer,random action,0
1231,399,2,human,random action,20
1232,400,2,computer,random action,100
1233,401,3,human,random action,80
1234,402,3,computer,random action,50
1235,403,4,human,random action,10
1236,404,4,computer,random action,30
1237,405,5,human,random action,10
1238,406,5,computer,random action,30
1239,407,6,human,random action,0
1240,408,6,computer,random action,20
1241,409,1,human,random action,40
1242,410,1,computer,random action,30
1243,411,2,human,random action,0
1244,412,2,computer,random action,0
1245,413,3,human,random action,0
1246,414,3,computer,random action,70
1247,415,4,human,random action,20
1248,416,4,computer,random action,10
